"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Central African Republic","CAF","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1771362951.01069","1820209676.81077","1742105066.95595","1789534125.69485","1917170136.81241","2098072237.90701","2050916734.87674","2196575882.11136","2324776994.27552","2445325701.40478","2438709624.19257","2605648733.10956","2741329688.62989","2645080017.47261","2880742045.84595","3000438943.1597","3240171990.04586","3479669083.97936","3620805764.55707","3710661655.2454","3870412845.06079","4080711501.63792","4326803265.11516","2783101445.53791","2862391719.04668","3038329664.36264","3216524543.88972","",
"Canada","CAN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","558816722642.658","565142895475.078","583129596299.343","612855674286.265","654022346738.947","685541305829.193","709302287086.741","752318791365.374","790002907846.55","843506520771.576","898024619550.475","934754350420.289","967558830682.98","1019620715104.12","1079987051623.94","1167581267653.45","1238000856192.8","1297164596823.72","1339060588630.82","1304488409235.99","1361137270766.35","1427466965184.4","1464565119752.66","1550271241830.07","1602420376607.17","1584685890086.46","1597516516504.69","",
"Central Europe and the Baltics","CEB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","762134320838.51","711784003813.838","715181714074.567","744150158431.654","791423719124.543","854801485737.803","908398326180.481","950148469626.987","990301368026.409","1023271421537.67","1084507176360.66","1165185516441.67","1242450993103.9","1317572789740.27","1434254149906.24","1517672601479.49","1683372811299","1861651019287.29","2053069451769.29","2050017825740.59","2171587130775.26","2309295673898.04","2385830937629.06","2486741445114.15","2593648146149.41","2706888549230.03","2811000872470.7","",
"Switzerland","CHE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185300398867.232","189714565227.414","193954404253.926","198318946179.291","205111130088.988","210395985363.743","215999999364.696","225358636733.398","233813266727.85","241567478128.904","256672190807.233","266510084484.179","274768529150.29","276762008335.405","289656163952.078","301740587045.255","337767594530.592","375492910324.941","402150962828.414","401300603708.201","416052594047.904","444548844577.953","462615082063.583","486238586276.179","505995409021.526","524205583446.997","533649687047.263","",
"Channel Islands","CHI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60769579192.5666","67789146017.9642","78244371444.0986","86560582773.4914","94386047802.1525","107225564597.686","118519347104.323","128748862488.415","135394396265.024","136478903669.441","146647244011.618","154467884768.215","160891850868.123","170180776960.795","188125308824.608","206274402670.143","254770038945.817","278098065608.096","273636846329.396","273772307025.887","311943196570.633","350575241993.673","374241571983.029","394291936706.7","406567577943.295","418834466529.707","429122544147.565","",
"China","CHN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1119937622111.38","1264767322914.5","1477498389013.65","1722420096596.99","1988672809227.01","2252435843311.46","2521267972305.11","2801135217763.58","3053459470024.17","3337893655564.26","3703735286946.91","4104067209345.2","4547550139902.42","5103705283662.81","5774279848423.22","6639272110941.52","7713673777916.61","9045938594758.71","10113837109441.1","11148546705256.6","12484966957331.1","13957938676634.1","15331822766014.4","16788028344180.3","18335661531200.1","19852725477822.9","21450967685636.9","",
"Cote d'Ivoire","CIV","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25323486247.1707","26177090434.8436","26708332257.2324","27291160591.3161","28098051895.3191","30728041174.8125","33707427086.1257","35567783077.8508","37726550583.7737","38923464147.9491","38985762279.3184","39922605253.016","39859480455.9552","40101591089.0438","41711816068.3431","43795016422.1551","45824775161.2498","47874676248.6701","50055049171.1185","52075061301.6215","53774598836.3684","52476906028.6953","59165494347.5907","65465432147.342","72497646365.0588","79922468766.8545","87689286756.7095","",
"Cameroon","CMR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22870960795.3467","22732166992.6489","22529596385.5569","21236052918.3759","22148623128.0276","23395111632.3734","24861108730.6138","26609431048.1345","28109247370.7554","29764325619.7208","31523323420.5547","33650053715.5061","35614333412.4906","37983514248.2066","41674423401.3293","43884550665.7699","46796801515.9895","50397348456.4099","53178702548.5052","54760660616.8445","57326557790.6288","60926183398.9526","64867501724.1774","69477344512.2197","74882512635.846","80131070239.4999","84765075825.6615","",
"Congo, Dem. Rep.","COD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28647038672.3355","27107880775.3121","24814605298.391","21983196056.0813","21575438316.3129","22179609961.9412","22353432058.8919","21458919482.3687","21339495428.6185","20740887191.1977","19746845528.8115","19772687633.2375","20668022936.1518","22255968527.6215","24408873288.9752","26739968621.1456","29028033507.9672","31665924641.7283","34297249203.9116","35544357956.4591","38525355485.9947","42019985292.7179","45857150581.808","50560187760.0503","56359733042.6111","61012873858.6743","63288929824.1651","",
