 country_ name,iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,7.022185,7.167716,7.331162,7.478147,7.561583,7.551988,7.431505,7.22205,6.982522,6.795102,6.718241,6.774509,6.945053,7.196139,7.475011,7.743065,7.990133,8.228268,8.467109,8.72355,9.008856,9.323607,9.659238,10.007092,10.355253,10.694459,11.022162,11.338733,11.641509,11.928306,12.197905,12.448881,12.681984,12.901217,13.112334,13.320058,13.52536,13.7287,13.93366,14.144337,14.363586,14.593099,14.832255,15.078564,15.328136
Cameroon,CMR,,,,,,,,,,,5.64564208,5.736641554,5.831730877,5.931125074,6.035108292,6.143925315,6.257832449,6.377167114,6.502222096,6.63337609,6.770967,6.948847,7.134374,7.327874,7.529704,7.740196,7.9595,8.18784,8.425707,8.673666,8.932121,9.201146,9.480638,9.770555,10.070779,10.381098,10.701458,11.031515,11.370394,11.716975,12.070359,12.430311,12.796739,13.1691,13.546823,13.929575,14.317191,14.709961,15.10863,15.514249,15.927713,16.349364,16.779434,17.218591,17.667576,18.126999,18.597109,19.0781,19.570418,20.074522,20.590666,21.119065,21.659488,22.211166,22.773014
Canada,CAN,13.81121224,14.12590339,14.57431249,14.96641935,15.41281769,15.82101157,16.21010275,16.76709577,17.21248826,17.61665968,18.00575087,18.36870122,18.71455963,19.06644938,19.42940161,19.78430704,20.15630628,20.5222723,20.84098591,21.14159985,21.4392,21.790338,22.141998,22.488744,22.823272,23.140609,23.43994,23.723801,23.994948,24.257594,24.515788,24.768525,25.017501,25.272656,25.546736,25.848173,26.181342,26.541981,26.919036,27.296517,27.66244,28.014102,28.353843,28.680921,28.995822,29.299478,29.590952,29.871092,30.145148,30.420216,30.701903,30.991344,31.288572,31.596593,31.918582,32.256333,32.611436,32.982275,33.363256,33.746559,34.126173,34.499905,34.868151,35.230612,35.587793
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,0.009144,0.009583,0.010137,0.010785,0.011494,0.012238,0.01302,0.01384,0.014663,0.015447,0.016164,0.016795,0.017357,0.017911,0.018543,0.019315,0.020254,0.021343,0.022539,0.023776,0.025009,0.026211,0.027402,0.028652,0.030055,0.031672,0.033535,0.035596,0.037742,0.03981,0.041685,0.043317,0.044742,0.046032,0.047299,0.048623,0.050028,0.05148,0.052925,0.054285,0.055509,0.05658,0.057522,0.058369,0.059172
Central African Republic,CAF,,,,,,,,,,,1.459043588,1.486287728,1.514751742,1.544470478,1.575538519,1.61821765,1.675454914,1.723707989,1.752963405,1.784395322,1.82871,1.864757,1.900702,1.937383,1.975968,2.017379,2.061552,2.108417,2.158844,2.213888,2.274095,2.340259,2.411693,2.485666,2.558432,2.627424,2.691312,2.751163,2.80972,2.871005,2.937832,3.01095,3.089141,3.170848,3.253698,3.33584,3.417163,3.49791,3.577028,3.65331,3.726048,3.794677,3.859784,3.923294,3.987896,4.055608,4.127112,4.202104,4.280405,4.361492,4.444973,4.530903,4.6195,4.710678,4.804316
Chad,TCD,,,,,,,,,,,2.975104933,3.026961526,3.080830923,3.136787968,3.199099581,3.270646594,3.343839197,3.41842372,3.493325796,3.568728684,3.644911,3.727382,3.816299,3.908729,4.000511,4.088858,4.17307,4.25477,4.336389,4.421448,4.512795,4.610964,4.716073,4.830055,4.955088,5.09265,5.244158,5.409275,5.585528,5.769273,5.958022,6.151213,6.350174,6.556628,6.773104,7.001634,7.242018,7.494143,7.760157,8.042713,8.343321,8.663599,9.002102,9.353516,9.710498,10.067932,10.423616,10.779504,11.13974,11.510535,11.89638,12.298512,12.715465,13.145788,13.587053
Chile,CHL,,6.380934982,6.509214062,6.626745386,6.748572113,6.882409036,7.030986893,7.193862809,7.368755247,7.552529525,7.741864565,7.933707934,8.12552989,8.315461108,8.50231264,8.685543301,8.865179371,9.041701688,9.2159376,9.38893638,9.561868,9.741579,9.916558,10.087377,10.255074,10.42059,10.584237,10.746328,10.907901,11.070198,11.23434,11.400489,11.569135,11.742057,11.921407,12.108576,12.304203,12.507488,12.716508,12.928491,13.141202,13.354054,13.566942,13.778676,13.987999,14.193986,14.39602,14.59407,14.788609,14.980484,15.170387,15.358418,15.544554,15.729268,15.913119,16.096571,16.279728,16.462701,16.64594,16.829957,17.015048,17.201305,17.388437,17.575833,17.762647
China,CHN,,,566.2077909,575.7229213,586.1037361,597.9345362,610.1609455,624.0354756,637.3284716,644.8639924,641.2285629,635.3248019,643.8318719,664.4748248,685.9748004,705.1739033,725.2361644,744.3710266,764.9016788,787.0634291,808.510713,829.367784,849.787991,869.474823,888.132761,905.580445,921.688199,936.554514,950.537317,964.155176,977.837433,991.553829,1005.328574,1019.698475,1035.328572,1052.62241,1071.834975,1092.646739,1114.162025,1135.128009,1154.605773,1172.327831,1188.450231,1202.982955,1216.067023,1227.841281,1238.234851,1247.259143,1255.262566,1262.713651,1269.974572,1277.188787,1284.349938,1291.485488,1298.573031,1305.60063,1312.600877,1319.625197,1326.690636,1333.807063,1340.968737,1348.174478,1355.386952,1362.51426,1369.43567
"China, Hong Kong SAR",HKG,,,,,,,,,,,3.074676132,3.167457448,3.304529617,3.420206153,3.503889116,3.597170055,3.629163628,3.722044821,3.801928639,3.863116127,3.958197,4.005761,4.068406,4.147596,4.243512,4.355301,4.485813,4.633329,4.78658,4.930298,5.053684,5.152057,5.228813,5.29121,5.350467,5.41479,5.486965,5.564596,5.644652,5.722161,5.794034,5.857335,5.914576,5.974379,6.048585,6.144498,6.267295,6.411273,6.559656,6.689135,6.783502,6.836538,6.854755,6.850361,6.841705,6.842465,6.855818,6.878566,6.910384,6.949275,6.99357,7.044211,7.101858,7.16393,7.226869
"China, Macao SAR",MAC,,,,,,,,,,,,,,,,,,,,,0.250997,0.253881,0.254282,0.252845,0.25055,0.248213,0.245915,0.243729,0.242458,0.243073,0.246236,0.252258,0.260921,0.271674,0.283672,0.296222,0.309226,0.322655,0.335952,0.348467,0.359735,0.369484,0.377799,0.385041,0.391783,0.398459,0.405231,0.412031,0.41881,0.425448,0.431907,0.438088,0.444178,0.450754,0.458579,0.468149,0.479728,0.493022,0.507274,0.521405,0.534626,0.546682,0.557763,0.568056,0.577914
